ntd_id,legacy_ntd_id,agency_name,reporter_acronym,doing_business_as,reporter_status,reporter_type,reporting_module,organization_type,reported_by_ntd_id,reported_by_name,subrecipient_type,fy_end_date,original_due_date,address_line_1,address_line_2,p_o_box,city,state,zip_code,zip_code_ext,region,url,fta_recipient_id,duns_number,service_area_sq_miles,service_area_pop,primary_uza,uza_name,tribal_area_name,population,density,sq_miles,voms_do,voms_pt,total_voms,volunteer_drivers,personal_vehicles,tam_tier,mode_ar,mode_cb,mode_cc,mode_cr,mode_dr,mode_dt,mode_fb,mode_hr,mode_ip,mode_jt,mode_lr,mode_mb,mode_mg,mode_or,mode_pb,mode_rb,mode_sr,mode_tb,mode_tr,mode_vp,mode_yr,mode_total,mb_only,dr_only,vp_only,mb_dr,vrm_ar,vrm_cb,vrm_cc,vrm_cr,vrm_dr,vrm_dt,vrm_fb,vrm_hr,vrm_ip,vrm_jt,vrm_lr,vrm_mb,vrm_mg,vrm_or,vrm_pb,vrm_rb,vrm_sr,vrm_tb,vrm_tr,vrm_vp,vrm_yr,vrm_total,vrh_ar,vrh_cb,vrh_cc,vrh_cr,vrh_dr,vrh_dt,vrh_fb,vrh_hr,vrh_ip,vrh_jt,vrh_lr,vrh_mb,vrh_mg,vrh_or,vrh_pb,vrh_rb,vrh_sr,vrh_tb,vrh_tr,vrh_vp,vrh_yr,vrh_total,upt_ar,upt_cb,upt_cc,upt_cr,upt_dr,upt_dt,upt_fb,upt_hr,upt_ip,upt_jt,upt_lr,upt_mb,upt_mg,upt_or,upt_pb,upt_rb,upt_sr,upt_tb,upt_tr,upt_vp,upt_yr,upt_total
00011,0011,Valley Regional Transit,VRT,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2019,1/31/2020,700 N East 2nd St.,Suite 100,,Meridian,ID,83642,,10,http://www.valleyregionaltransit.org/,1736.0,139758973.0,66,"338,759",108.0,"Boise City, ID",,"349,684","2,613",134,,73,73,,,Tier II,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0," 605,559",0,0,0.0,0.0,0.0,0," 1,556,235",0.0,0.0,0.0,0,0,0,0.0,0,0,2161794.0,0.0,0,0.0,0.0," 45,885",0,0,0.0,0.0,0.0,0," 105,051",0.0,0.0,0.0,0,0,0,0.0,0,0,150936.0,0.0,0,0.0,0.0," 107,927",0,0,0.0,0.0,0.0,0," 1,213,678",0.0,0.0,0.0,0,0,0,0.0,0,0,1321605.0
00012,0012,Municipality of Anchorage,MOA PTD,Public Transportation,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,"3600 Dr Martin Luther King, Jr Avenue",,196650,Anchorage,AK,99519,6650.0,10,http://www.peoplemover.org/,1707.0,76667013.0,77,"202,396",149.0,"Anchorage, AK",,"251,243","2,956",85,45,132,177,,,Tier II,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0," 805,845",0,0,0.0,0.0,0.0,0,2166666,0.0,0.0,0.0,0,0,0,0.0," 1,474,126",0,4446637.0,0.0,0,0.0,0.0," 63,287",0,0,0.0,0.0,0.0,0,177247,0.0,0.0,0.0,0,0,0,0.0," 37,087",0,277621.0,0.0,0,0.0,0.0," 131,456",0,0,0.0,0.0,0.0,0,3410108,0.0,0.0,0.0,0,0,0,0.0," 208,840",0,3750404.0
00014,0T14,Sitka Tribe of Alaska,STA,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2019,4/30/2020,456 Katlian Street,,,Sitka,AK,99835,,10,www.sitkatribe.org,6669.0,67348383.0,0,0,0.0,Alaska Non-UZA,"Sitka ANVSA, AK",0,0,0,3,,3,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0," 127,842",0.0,0.0,0.0,0,0,0,0.0,0,0,127842.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0," 9,906",0.0,0.0,0.0,0,0,0,0.0,0,0,9906.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0," 55,122",0.0,0.0,0.0,0,0,0,0.0,0,0,55122.0
00015,0T15,Snoqualmie Indian Tribe,,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2019,1/31/2020,9571 Ethan Wade Way SE,,969,Snoqualmie,WA,98065,,10,http://www.svtbus.org/,6685.0,963676044.0,,,0.0,Washington Non-UZA,"Snoqualmie Reservation, WA",0,0,0,5,,5,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0," 65,964",0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,65964.0,0.0,0,0.0,0.0," 1,885",0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,1885.0,0.0,0,0.0,0.0," 1,037",0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,1037.0
00016,0016,RiverCities Transit,RCT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,254 Oregon Way,,128,Longview,WA,98632,,10,http://www.rctransit.org/,1747.0,612643619.0,31,"61,598",431.0,"Longview, WA-OR",,"63,952","1,946",33,9,17,26,,,Tier II,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0," 212,017",0,0,0.0,0.0,0.0,0," 299,469",0.0,0.0,0.0,0,0,0,0.0,0,0,511486.0,0.0,0,0.0,0.0," 25,368",0,0,0.0,0.0,0.0,0," 23,602",0.0,0.0,0.0,0,0,0,0.0,0,0,48970.0,0.0,0,0.0,0.0," 55,867",0,0,0.0,0.0,0.0,0," 334,731",0.0,0.0,0.0,0,0,0,0.0,0,0,390598.0
00017,0T17,Stillaguamish Tribe of Indians,,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2019,1/31/2020,3322 236th Street NE,,277,Arlington,WA,98223,277.0,10,http://www.stillaguamish.com/,6801.0,34340406.0,,,0.0,Washington Non-UZA,"Stillaguamish Reservation and Off-Reservation Trust Land, WA",0,0,0,20,,20,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0," 61,606",0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0," 179,689",0,241295.0,0.0,0,0.0,0.0," 2,113",0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0," 4,347",0,6460.0,0.0,0,0.0,0.0," 13,251",0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0," 10,182",0,23433.0
00018,0018,Ben Franklin Transit,BFT,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2019,4/30/2020,1000 Columbia Park Trail,,,Richland,WA,99352,,10,http://www.bft.org/,1742.0,61038006.0,616,"296,480",171.0,"Kennewick-Pasco, WA",,"210,975","2,059",102,376,33,409,,,Tier I (Non-Fixed Route VOMS),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,2220233,0,0,0.0,0.0,0.0,0," 2,822,681",0.0,0.0,0.0,0,0,0,0.0," 3,501,626",0,8544540.0,0.0,0,0.0,0.0,141221,0,0,0.0,0.0,0.0,0," 179,227",0.0,0.0,0.0,0,0,0,0.0," 80,007",0,400455.0,0.0,0,0.0,0.0,377314,0,0,0.0,0.0,0.0,0," 2,096,572",0.0,0.0,0.0,0,0,0,0.0," 652,803",0,3126689.0
00019,0019,Intercity Transit,I.T.,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2019,4/30/2020,526 Pattison Street SE,,659,Olympia,WA,98507,659.0,10,http://www.intercitytransit.com/,1745.0,50154525.0,101,"185,500",195.0,"Olympia-Lacey, WA",,"176,617","1,673",106,291,,291,,,Tier I (Non-Fixed Route VOMS),0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0," 521,253",0.0,0.0," 1,070,663",0,0,0.0,0.0,0.0,0," 2,710,944",0.0,0.0,0.0,0,0,0,0.0," 3,102,203",0,7405063.0,0.0," 20,311",0.0,0.0," 90,833",0,0,0.0,0.0,0.0,0," 211,510",0.0,0.0,0.0,0,0,0,0.0," 78,708",0,401362.0,0.0," 210,487",0.0,0.0," 215,834",0,0,0.0,0.0,0.0,0," 3,819,398",0.0,0.0,0.0,0,0,0,0.0," 491,090",0,4736809.0
00020,0020,Kitsap Transit,,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2019,4/30/2020,60 Washington Ave. Suite 200,,,Bremerton,WA,98337,,10,http://www.kitsaptransit.com/,1746.0,803857184.0,396,"254,183",180.0,"Bremerton, WA",,"198,979","1,458",136,258,4,262,,,Tier II,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0," 1,363,533"," 22,793",168504,0.0,0.0,0.0,0," 2,488,331",0.0,0.0,0.0,0,0,0,0.0," 665,919",0,4709080.0,0.0,0,0.0,0.0," 92,893"," 1,033",11576,0.0,0.0,0.0,0," 152,067",0.0,0.0,0.0,0,0,0,0.0," 22,217",0,279786.0,0.0,0,0.0,0.0," 305,006"," 3,347",1038796,0.0,0.0,0.0,0," 2,349,407",0.0,0.0,0.0,0,0,0,0.0," 153,657",0,3850213.0
00021,0021,Whatcom Transportation Authority,WTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2019,4/30/2020,4111 Bakerview Spur ,,,Bellingham,WA,98226,8056.0,10,http://www.ridewta.com/,5092.0,155747561.0,776,"225,099",275.0,"Bellingham, WA",,"114,473","2,379",48,107,3,110,,,Tier II,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0," 960,877"," 25,967",0,0.0,0.0,0.0,0," 2,123,146",0.0,0.0,0.0,0,0,0,0.0," 238,834",0,3348824.0,0.0,0,0.0,0.0," 75,649"," 1,077",0,0.0,0.0,0.0,0," 152,623",0.0,0.0,0.0,0,0,0,0.0," 4,323",0,233672.0,0.0,0,0.0,0.0," 216,711"," 2,285",0,0.0,0.0,0.0,0," 4,451,508",0.0,0.0,0.0,0,0,0,0.0," 33,361",0,4703865.0
00022,0022,City of Pocatello,PRT,Pocatello Regional Transit,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2019,1/31/2020,911 North Seventh,,4169,Pocatello,ID,83205,4169.0,10,http://www.pocatellotransit.com/,1737.0,73112690.0,27,"169,849",395.0,"Pocatello, ID",,"69,809","2,251",31,28,,28,,,Tier II,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0," 437,163",0,0,0.0,0.0,0.0,0," 296,667",0.0,0.0,0.0,0,0,0,0.0,0,0,733830.0,0.0,0,0.0,0.0," 33,572",0,0,0.0,0.0,0.0,0," 22,178",0.0,0.0,0.0,0,0,0,0.0,0,0,55750.0,0.0,0,0.0,0.0," 77,786",0,0,0.0,0.0,0.0,0," 206,271",0.0,0.0,0.0,0,0,0,0.0,0,0,284057.0
00023,0023,City of Seattle,SMS,Seattle Center Monorail,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,370 Thomas Street,Second Floor,,Seattle,WA,98109,4695.0,10,http://www.seattlemonorail.com/,1749.0,832190248.0,83,"704,352",14.0,"Seattle, WA",,"3,059,393","3,028","1,010",,8,8,,,Tier I (Rail),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0," 195,517",0.0,0.0,0,0,0,0.0,0,0,195517.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0," 20,041",0.0,0.0,0,0,0,0.0,0,0,20041.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0," 1,939,224",0.0,0.0,0,0,0,0.0,0,0,1939224.0
00024,0024,Clark County Public Transportation Benefit Area Authority,C-TRAN,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2019,4/30/2020,,,2529,Vancouver,WA,98668,2529.0,10,http://www.c-tran.com/,1729.0,44938447.0,143,"420,901",24.0,"Portland, OR-WA",,"1,849,898","3,528",524,181,,181,,,Tier I (Fixed Route VOMS),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0," 1,655,133",0,0,0.0,0.0,0.0,0," 3,964,173",0,0.0,0.0,0,0,0,0.0," 275,580",0,5894886.0,0.0,0,0.0,0.0," 96,863",0,0,0.0,0.0,0.0,0," 277,789",0,0.0,0.0,0,0,0,0.0," 8,507",0,383159.0,0.0,0,0.0,0.0," 264,391",0,0,0.0,0.0,0.0,0," 5,989,797",0,0.0,0.0,0,0,0,0.0," 40,874",0,6295062.0
