NTD_ID,Legacy NTD ID,Agency Name,Reporter Acronym,Doing Business As,Reporter Status,Reporter Type,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles,TAM Tier
00011,0011,Valley Regional Transit,VRT,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2019,1/31/2020,700 N East 2nd St.,Suite 100,,Meridian,ID,83642,,10,http://www.valleyregionaltransit.org/,1736,139758973,66,"338,759",108,"Boise City, ID",,"349,684","2,613",134,,73,73,,,Tier II
00012,0012,Municipality of Anchorage,MOA PTD,Public Transportation,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,"3600 Dr Martin Luther King, Jr Avenue",,196650,Anchorage,AK,99519,6650,10,http://www.peoplemover.org/,1707,076667013,77,"202,396",149,"Anchorage, AK",,"251,243","2,956",85,45,132,177,,,Tier II
00014,0T14,Sitka Tribe of Alaska,STA,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2019,4/30/2020,456 Katlian Street,,,Sitka,AK,99835,,10,www.sitkatribe.org,6669,067348383,0,0,0,Alaska Non-UZA,"Sitka ANVSA, AK",0,0,0,3,,3,,,
00015,0T15,Snoqualmie Indian Tribe,,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2019,1/31/2020,9571 Ethan Wade Way SE,,969,Snoqualmie,WA,98065,,10,http://www.svtbus.org/,6685,963676044,,,0,Washington Non-UZA,"Snoqualmie Reservation, WA",0,0,0,5,,5,,,
00016,0016,RiverCities Transit,RCT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,254 Oregon Way,,128,Longview,WA,98632,,10,http://www.rctransit.org/,1747,612643619,31,"61,598",431,"Longview, WA-OR",,"63,952","1,946",33,9,17,26,,,Tier II
00017,0T17,Stillaguamish Tribe of Indians,,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2019,1/31/2020,3322 236th Street NE,,277,Arlington,WA,98223,277,10,http://www.stillaguamish.com/,6801,034340406,,,0,Washington Non-UZA,"Stillaguamish Reservation and Off-Reservation Trust Land, WA",0,0,0,20,,20,,,
00018,0018,Ben Franklin Transit,BFT,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2019,4/30/2020,1000 Columbia Park Trail,,,Richland,WA,99352,,10,http://www.bft.org/,1742,061038006,616,"296,480",171,"Kennewick-Pasco, WA",,"210,975","2,059",102,376,33,409,,,Tier I (Non-Fixed Route VOMS)
00019,0019,Intercity Transit,I.T.,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2019,4/30/2020,526 Pattison Street SE,,659,Olympia,WA,98507,659,10,http://www.intercitytransit.com/,1745,050154525,101,"185,500",195,"Olympia-Lacey, WA",,"176,617","1,673",106,291,,291,,,Tier I (Non-Fixed Route VOMS)
00020,0020,Kitsap Transit,,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2019,4/30/2020,60 Washington Ave. Suite 200,,,Bremerton,WA,98337,,10,http://www.kitsaptransit.com/,1746,803857184,396,"254,183",180,"Bremerton, WA",,"198,979","1,458",136,258,4,262,,,Tier II
00021,0021,Whatcom Transportation Authority,WTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2019,4/30/2020,4111 Bakerview Spur ,,,Bellingham,WA,98226,8056,10,http://www.ridewta.com/,5092,155747561,776,"225,099",275,"Bellingham, WA",,"114,473","2,379",48,107,3,110,,,Tier II
00022,0022,City of Pocatello,PRT,Pocatello Regional Transit,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2019,1/31/2020,911 North Seventh,,4169,Pocatello,ID,83205,4169,10,http://www.pocatellotransit.com/,1737,073112690,27,"169,849",395,"Pocatello, ID",,"69,809","2,251",31,28,,28,,,Tier II
00023,0023,City of Seattle,SMS,Seattle Center Monorail,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,370 Thomas Street,Second Floor,,Seattle,WA,98109,4695,10,http://www.seattlemonorail.com/,1749,832190248,83,"704,352",14,"Seattle, WA",,"3,059,393","3,028","1,010",,8,8,,,Tier I (Rail)
00024,0024,Clark County Public Transportation Benefit Area Authority,C-TRAN,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2019,4/30/2020,,,2529,Vancouver,WA,98668,2529,10,http://www.c-tran.com/,1729,044938447,143,"420,901",24,"Portland, OR-WA",,"1,849,898","3,528",524,181,,181,,,Tier I (Fixed Route VOMS)
00025,0025,Salem Area Mass Transit District,SAMTD or SKT,Salem-Keizer Transit or Cherriots,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2019,10/31/2019,555 Court St. NE,Suite 5230,,Salem,OR,97301,3980,10,http://www.cherriots.org/,1740,046259230,68,"230,118",156,"Salem, OR",,"236,632","3,117",76,53,84,137,,,Tier II
00026,0T26,Bristol Bay Native Association,BBNA,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2019,1/31/2020,1500 Kanakanak Road,,310,Dillingham,AK,99576,310,10,http://www.bbna.com/,7163,067639807,63,"2,539",0,Alaska Non-UZA,"Dillingham ANVSA, AK",0,0,0,,,,,,
00027,0T27,Confederated Tribes of Siletz Indians,CTSI,,Active,Reduced Reporter,Tribe,Tribe,,,,6/30/2019,10/31/2019,,,549,Siletz,OR,97380,549,10,http://www.ctsi.nsn.us/,7043,114787062,,,0,Oregon Non-UZA,"Siletz Reservation and Off-Reservation Trust Land, OR",0,0,0,,,,,,
00028,0028,County of Pierce,Pierce County Ferry,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,"2702 S 42nd ST, Ste 201",,,Tacoma,WA,98409,,10,http://www.co.pierce.wa.us/,5013,071850887,233,"844,295",14,"Seattle, WA",,"3,059,393","3,028","1,010",,2,2,,,Tier II
00029,0029,Snohomish County Public Transportation Benefit Area Corporation,Community Transit,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2019,4/30/2020,7100 Hardeson Road,,,Everett,WA,98203,5834,10,https://www.communitytransit.org/,2578,037420460,260,"816,720",14,"Seattle, WA",,"3,059,393","3,028","1,010",575,96,671,,,Tier I (Fixed Route VOMS)
00030,0T30,Chickaloon Native Village,CATs,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2019,1/31/2020,P.O. Box 1105,,,Chickaloon,AK,99674,,10,http://www.chickaloontransit.com,6666,037410123,,,0,Alaska Non-UZA,"Chickaloon ANVSA, AK",0,0,0,2,,2,,,
00031,0T31,Shoshone-Bannock Tribes ,SBTDOT,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2019,1/31/2020,,,306,Fort Hall,ID,83203,,10,http://www.sbtribes.com/,6976,793139684,,0,0,Idaho Non-UZA,"Fort Hall Reservation and Off-Reservation Trust Land, ID",0,0,0,21,,21,,,
00034,0034,Rogue Valley Transportation District,RVTD,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2019,10/31/2019,3200 Crater Lake Avenue,,,Medford,OR,97504,9075,10,http://www.rvtd.org/,1739,091288639,50,"132,022",213,"Medford, OR",,"154,081","2,381",65,21,19,40,,,Tier II
00035,0035,Washington State Ferries,WSF,,Active,Full Reporter,Urban,State Government Unit or Department of Transportation,,,,6/30/2019,10/31/2019,2901 Third Avenue,,,Seattle,WA,98121,1081,10,http://www.wsdot.wa.gov/ferries/,1724,808883995,"1,945","3,919,300",14,"Seattle, WA",,"3,059,393","3,028","1,010",19,,19,,,Tier II
00036,0T36,Makah Tribal Council,,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2019,4/30/2020,P.O. Box 115,,,Neah Bay ,WA,98357,115,10,http://www.makah.com/,6907,071845952,,,0,Washington Non-UZA,"Makah Indian Reservation, WA",0,0,0,1,,1,,,
00040,0040,Central Puget Sound Regional Transit Authority,ST,Sound Transit,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2019,4/30/2020,401 South Jackson Street,,,Seattle,WA,98104,2826,10,http://www.soundtransit.org/,5656,958427239,"1,087","3,158,800",14,"Seattle, WA",,"3,059,393","3,028","1,010",278,122,400,,,Tier I (Rail)
00041,0041,Alaska Railroad Corporation,ARRC,,Active,Full Reporter,Urban,State Government Unit or Department of Transportation,,,,12/31/2019,4/30/2020,327 West Ship Creek Avenue,,107500,Anchorage,AK,99510,7500,10,http://www.alaskarailroad.com,5806,009487042,266,"352,701",149,"Anchorage, AK",,"251,243","2,956",85,38,,38,,,Tier I (Rail)
00043,0043,Link Transit,,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2019,4/30/2020,2700 Euclid Avenue,,,Wenatchee,WA,98801,,10,http://www.linktransit.com/,5606,790160758,197,"108,660",412,"Wenatchee, WA",,"67,227","2,143",31,47,2,49,,,Tier II
00044,0044,Skagit Transit,SKT,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2019,4/30/2020,600 County Shop Lane,,,Burlington,WA,98233,9772,10,https://www.skagittransit.org/,5816,840017672,760,"115,484",435,"Mount Vernon, WA",,"62,966","1,827",34,90,,90,,,Tier II
00045,0045,Fairbanks North Star Borough ,MACS,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2019,10/31/2019,3175 Peger Road,,,Fairbanks,AK,99709,,10,http://www.co.fairbanks.ak.us/transportation/,1734,076637651,"7,444","99,725",425,"Fairbanks, AK",,"64,513","1,170",55,14,,14,,,Tier II
00046,0046,City of Wilsonville,SMART,South Metro Area Regional Transit,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2019,10/31/2019,28879 SW Boberg Road (site location),,,Wilsonville,OR,97070,,10,http://www.ridesmart.com/,5706,037600215,80,"73,870",24,"Portland, OR-WA",,"1,849,898","3,528",524,19,,19,,,Tier II
00047,0047,City of Corvallis,CTS,Corvallis Transit System,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2019,10/31/2019,1245 NE Third Street,,1083,Corvallis,OR,97339,1083,10,http://www.CorvallisTransit.com/,5664,030796783,14,"54,462",436,"Corvallis, OR",,"62,433","2,957",21,,11,11,,,Tier II
00048,0048,City of Lewiston,Lewiston Transit System,Lewiston Transit System,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2019,1/31/2020,PO Box 617,215 D St,617,Lewiston,ID,83501,,10,http://www.ridethevalley.org,5981,040197261,17,"50,058",483,"Lewiston, ID-WA",,"51,924","1,840",28,4,,4,,,Tier II
00051,0051,Asotin County,PTBA,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,1494 Poplar St,,,Clarkston,WA,99403,,10,http://www.asotincoptba.com,6450,830295015,20,"21,888",483,"Lewiston, ID-WA",,"51,924","1,840",28,14,,14,,,Tier II
00053,0053,Coeur d'Alene Tribe,Citylink,Citylink Transit,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2019,1/31/2020,37914 South Nukwalqw Street,,236,Worley,ID,83876,236,10,http://www.idahocitylink.com/,6807,808783844,388,"21,188",304,"Coeur d'Alene, ID","Coeur d'Alene Reservation, ID","98,378","2,083",47,7,,7,,,
00055,0055,Kootenai County,KC,Kootenai County Citylink North,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2019,1/31/2020,451 North Government Way,,9000,Coeur d'Alene,ID,83816,9000,10,http://www.kcgov.us/,6283,078207404,32,"75,423",304,"Coeur d'Alene, ID",,"98,378","2,083",47,,4,4,,,Tier II
00057,0057,Central Oregon Intergovernmental Council,Cascades East Transit,,Active,Full Reporter,Urban,"MPO, COG or Other Planning Agency",,,,6/30/2019,10/31/2019,334 NE Hawthorne Avenue,,,Bend,OR,97701,,10,https://coic2.org/transportation/,7112,137128062,75,"127,940",344,"Bend, OR",,"83,794","2,110",40,27,22,49,,,Tier II
00058,0058,City of Portland,PBOT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2019,10/31/2019,1120 SW 5th Street,Room 800,,Portland,OR,97204,,10,https://www.portlandoregon.gov/transportation/,1728,054971197,11,"89,237",24,"Portland, OR-WA",,"1,849,898","3,528",524,,14,14,,,Tier I (Rail)
00059,0059,Josephine County,JCT,Josephine Community Transit,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2019,10/31/2019,201 River Heights Way,,,Grants Pass,OR,97527,5432,10,http://www.co.josephine.or.us/SectionIndex.asp?SectionID=164,6746,018742572,80,"48,000",494,"Grants Pass, OR",,"50,520","1,858",27,15,,15,,,Tier II
00061,0061,City of Albany,ATS,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2019,10/31/2019,333 Broadalbin,,490,Albany,OR,97321,,10,http://www.cityofalbany.net/,5676,093478899,20,"50,724",459,"Albany, OR",,"56,997","2,379",24,13,,13,,,Tier II
00063,0063,City of Milton-Freewater,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2019,10/31/2019,722 S. Main Street,,6,MiltonFreewater,OR,97862,,10,http://www.mfcity.com/,7213,051941763,79,"8,600",464,"Walla Walla, WA-OR",,"55,805","2,017",28,,2,2,,,Tier II
00064,0064,Valley Transit,VT,,Active,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2019,4/30/2020,1401 West Rose Street,,,Walla Walla,WA,99362,1687,10,http://www.valleytransit.com/,5607,102891322,25,"48,573",464,"Walla Walla, WA-OR",,"55,805","2,017",28,22,,22,,,Tier II
00065,0065,Benton County,BCSTF,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2019,10/31/2019,STF Program,,1083,Corvallis,OR,97333,1083,10,https://www.co.benton.or.us/publicworks/page/county-public-transportation-services,1723,081966004,676,"92,101",436,"Corvallis, OR",,"62,433","2,957",21,,20,20,,,Tier II
00075,0T05,Confederated Tribes of the Grand Ronde Community of Oregon,CTGR,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2019,4/30/2020,9615 Grand Ronde Rd,,,Grand Ronde,OR,97347,9712,10,http://www.grandronde.org/,6678,161155346,0,0,0,Oregon Non-UZA,"Grand Ronde Community and Off-Reservation Trust Land, OR",0,0,0,,,,,,
00085,0T08,Gulkana Village Council,SET,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2019,1/31/2020,,,254,Gakona,AK,99586,254,10,http://www.soaringeagletransit.com,6667,001142814,,,0,Alaska Non-UZA,"Gakona ANVSA, AK - Gulkana ANVSA, AK - Copper Center ANVSA, AK - Chitina ANVSA, AK - Tazlina ANVSA, AK - Chistochina ANVSA, AK",0,0,0,5,,5,,,
00095,0T11,Lummi Nation,LIBC,Lummi Indian Business Council,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2019,4/30/2020,2665 Kwina Rd,,,Bellingham,WA,98226,9291,10,http://lummi-nsn.gov/,6684,020245247,,,0,Washington Non-UZA,"Lummi Reservation, WA",0,0,0,2,,2,,,
00103,0T16,Squaxin Island Tribe,,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2019,4/30/2020,10 SE Squaxin,,,Shelton,WA,98584,,10,http://squaxinisland.org/government/departments/community-development/squaxin-island-transit/,6686,606460475,,,0,Washington Non-UZA,"Squaxin Island Reservation and Off-Reservation Trust Land, WA",0,0,0,4,,4,,,
00111,0T03,Confederated Tribes and Bands of The Yakama Nation,CTABOTYN,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2019,1/31/2020,401 Fort  Road,,151,Toppenish,WA,98948,,10,http://www.pahtotransit.com,1724,803886399,0,0,0,Washington Non-UZA,"Yakama Nation Reservation and Off-Reservation Trust Land, WA",0,0,0,6,,6,,,
00119,0T06,Confederated Tribes of the Umatilla Indian Reservation,CTUIR,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2019,4/30/2020,46411 Timine Way,,,Pendleton,OR,97801,,10,https://ctuir.org/tribal-services/planning/kayak-public-transit,6800,131973919,,,0,Oregon Non-UZA,"Umatilla Reservation and Off-Reservation Trust Land, OR",0,0,0,8,,8,,,
00127,0T07,Cowlitz Indian Tribe,CITDOT,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2019,4/30/2020,,,2547,Longview,WA,98632,9200,10,http://www.cowlitz.org/,6808,607700478,0,0,0,Washington Non-UZA,,0,0,0,8,,8,,,
00135,0T12,Nez Perce Tribe,,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2019,1/31/2020,,,365,Lapwai,ID,83540,365,10,http://www.nezperce.org/,1722,078208303,,,0,Idaho Non-UZA,"Nez Perce Reservation, ID",0,0,0,4,,4,,,
00199,0T23,Seldovia Village Tribe,SVT,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2019,1/31/2020,Drawer L,,,Seldovia,AK,99663,,10,http://www.svt.org/,6744,789480548,,,0,Alaska Non-UZA,"Seldovia ANVSA, AK",0,0,0,1,,1,,,
00207,0T24,Spokane Tribe of Indians,TME,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2019,1/31/2020,The Moccasin Express,6195 Ford Wellpinit Rd,100,Wellpinit,WA,99040,,10,http://www.spokanetribe.com/,6937,054658232,,,0,Washington Non-UZA,"Spokane Reservation and Off-Reservation Trust Land, WA",0,0,0,10,,10,,,
00223,0T28,Jamestown S'Klallam Tribe,JST,,Active,Reduced Reporter,Tribe,Tribe,,,,3/31/2019,10/31/2019,1033 Old Blyn Highway,,,Sequim,WA,98382,,10,http://www.jamestowntribe.org/,6986,103364097,,,0,Washington Non-UZA,"Jamestown S'Klallam Reservation and Off-Reservation Trust Land, WA",0,0,0,,,,,,
00231,0T33,Confederated Tribes of Warm Springs,CTWS,Confederated Tribes of Warm Springs,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2019,4/30/2020,1233 Veterans Street,,C,Warm Springs,OR,97761,,10,https://warmsprings-nsn.gov/,6978,041266073,,,0,Oregon Non-UZA,"Warm Springs Reservation and Off-Reservation Trust Land, OR",0,0,0,,,,,,
00247,0T29,Native Village of Noatak,NNV,,Active,Reduced Reporter,Tribe,Tribe,,,,6/30/2019,10/31/2019,#5 Swamp Street,,24,Noatak,AK,99761,,10,http://www.maniilaq.org/,7186,000907801,,,0,Alaska Non-UZA,"Noatak ANVSA, AK",0,0,0,1,,1,,,
00271,0T41,Nome Eskimo Community,NEC,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2019,1/31/2020,200 W. 5th Avenue,,1090,Nome,AK,99762,,10,www.necalaska.org,6985,534862050,,,0,Alaska Non-UZA,"Nome ANVSA, AK",0,0,0,1,,1,,,
00279,0T40,Hydaburg Cooperative Association,,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2019,4/30/2020,,,349,Hydaburg,AK,99922,,10,www.hydatribe.org/transportation.hotmail,7246,134291116,,,0,Alaska Non-UZA,"Hydaburg ANVSA, AK",0,0,0,2,,2,,,
00373,0R01-012,Treasure Valley Transit,TVT,,Active,Reduced Reporter,Urban,Private-Non-Profit Corporation,,,,9/30/2019,1/31/2020,1136 W. Finch Drive,,,Nampa,ID,83651,,10,www.treasurevalleytransit.com,1722,884972332,210,"148,011",216,"Nampa, ID",,"151,499","2,183",69,25,,25,,,Tier II
00376,0R02-022,"Ride Connection, Inc.",,,Active,Full Reporter,Urban,Private-Non-Profit Corporation,,,,6/30/2019,10/31/2019,9955 NE Glisan Street,,,Portland,OR,97220,,10,http://www.rideconnection.org,1728,180729410,"1,192","1,364,620",24,"Portland, OR-WA",,"1,849,898","3,528",524,42,41,83,,,Tier II
00400,,Gwichyaa Zhee Tribal Transit Service,,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2019,1/31/2020,3rd & Alder Street,,126,Fort Yukon,AK,99740,,10,,6983,607347754,,,0,Alaska Non-UZA,"Fort Yukon ANVSA, AK",0,0,0,1,,1,,,
00401,,Lower Elwha Klallam Tribe,LEKT,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2019,1/31/2020,2851 Lower Elwha Road,,,Port Angeles,WA,98363,,10,www.elwha.org,6869,910838085,,,0,Washington Non-UZA,"Lower Elwha Reservation and Off-Reservation Trust Land, WA",0,0,0,1,,1,,,
00407,,Muckleshoot Indian Tribe,MIT,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2019,4/30/2020,390156 172nd Ave SE,,,Auburn,WA,98092,,10,http://www.muckleshoot.nsn.us/,1010,076655851,,,14,"Seattle, WA","Muckleshoot Reservation and Off-Reservation Trust Land, WA","3,059,393","3,028","1,010",3,,3,,,
00414,,Ninilchik Village,NTC,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2019,1/31/2020,,,39070,Ninilchik,AK,99639,,10,www.ninilchiktribe-nsn.gov,7320,614159697,,,0,Alaska Non-UZA,"Ninilchik ANVSA, AK",0,0,0,2,,2,,,
00415,,Ada County Highway District,ACHD CR,ACHD Commuteride,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2019,1/31/2020,5714 Fairview Avenue,,,Boise,ID,83706,,10,www.commuteride.com,1736,557547288,"15,134","814,966",108,"Boise City, ID",,"349,684","2,613",134,84,,84,,,Tier II
00416,,Boise State University,BSU,,Active,Reduced Reporter,Urban,University,,,,6/30/2019,10/31/2019,1910 University Drive,,,Boise,ID,83725,,10,https://transportation.boisestate.edu/,1736,072995848,5,"29,260",108,"Boise City, ID",,"349,684","2,613",134,9,,9,,,Tier II
00417,,Quileute Tribe Community Shuttle,,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2019,1/31/2020,,,279,La Push,WA,98350,,10,www.quileutenation.org,,078202728,,,0,Washington Non-UZA,"Quileute Reservation, WA",0,0,0,1,,1,,,
00419,,Kenaitze Indian Tribe,KIT,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2019,1/31/2020,150 N Willow Street,,988,Kenai,AK,99611,,10,https://www.kenaitze.org/,6803,149211364,,,0,Alaska Non-UZA,"Kenaitze ANVSA, AK",0,0,0,8,,8,,,
00420,,Native Village of Unalakleet,NVU,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2019,1/31/2020,,,270,Unalakleet,AK,99684,,10,https://narf.org/nill/tribes/native_unalakleet.html,7105,088944348,,,0,Alaska Non-UZA,"Unalakleet ANVSA, AK",0,0,0,1,,1,,,
00455,,Samish Indian Nation,,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2019,4/30/2020,2918 Commercial Ave,,217,Anacortes,WA,98221,,10,https://www.samishtribe.nsn.us/,,091741637,,,0,Washington Non-UZA,"Samish TDSA, WA",0,0,0,1,,1,,,
0R01,0R01,Idaho Transportation Department,ITD,,Active,State Reporter,Rural,,,,,6/30/2019,10/31/2019,Public Transportation,3311 West State Street,7129,Boise,ID,83707,1129,10,http://www.itd.idaho.gov/,1722,825017395,,,,,,,,,,,,,,
