NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Operating Expense Type,Operators' Salaries and Wages,Operators' Paid Absences,Other Salaries and Wages,Other Paid Absences,Fringe Benefits,Service Costs,Fuel and Lubricants,Tires and Tubes,Other Materials and Supplies,Utilities,Casualty and Liability Costs,Taxes,PT Funds In Report,PT Funds Reported Separately,Miscellaneous Expenses,Reduced Reporting Waiver - Total OE,Total Operating Expenses,Total Operating Expenses (No Funds Reported Separately),ADA Related Expenses
00001,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Facility Maintenance,$0,$0,"$88,406","$14,295","$49,135","$16,736",$0,$0,"$7,999",$0,$0,"$3,371","$443,113",$0,$390,$0,"$623,445","$623,445",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,General Administration,$0,$0,"$238,257","$58,035","$109,379","$301,211",$0,$0,"$10,675","$11,774",$0,$0,"$1,575,122",$0,"$5,197",$0,"$2,309,650","$2,309,650",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Total,$0,$0,"$375,898","$85,973","$182,403","$424,726",$0,$0,"$27,893","$11,774",$0,"$3,371","$8,637,452",$0,"$5,724",$0,"$9,755,214","$9,755,214",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Vehicle Maintenance,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,155,190",$0,$0,$0,"$1,155,190","$1,155,190",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Vehicle Operations,$0,$0,"$49,235","$13,643","$23,889","$106,779",$0,$0,"$9,219",$0,$0,$0,"$5,464,027",$0,$137,$0,"$5,666,929","$5,666,929",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,Facility Maintenance,$0,$0,"$661,431","$164,490","$398,137","$2,420",$0,$0,"$9,781",$0,$0,$0,$0,$0,$595,$0,"$1,236,854","$1,236,854",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,General Administration,$0,$0,"$919,530","$178,239","$395,328","$836,781",$0,$0,"$35,698","$34,698","$79,590",$0,$0,$0,"$24,052",$0,"$2,503,916","$2,503,916",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,Total,"$2,377,929","$312,986","$3,341,295","$575,786","$2,981,185","$938,427","$15,042",$0,"$641,525","$231,793","$79,590",$0,$0,$0,"$26,918",$0,"$11,522,476","$11,522,476",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,Vehicle Maintenance,$0,$0,"$866,790","$94,264","$406,414","$55,419","$15,042",$0,"$590,215",$0,$0,$0,$0,$0,$848,$0,"$2,028,992","$2,028,992",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,Vehicle Operations,"$2,377,929","$312,986","$893,544","$138,793","$1,781,306","$43,807",$0,$0,"$5,831","$197,095",$0,$0,$0,$0,"$1,423",$0,"$5,752,714","$5,752,714",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,Facility Maintenance,$0,$0,"$4,407,392","$1,160,614","$2,224,143","$524,074",$0,$0,"$532,186",$0,$0,"$63,752",$0,$0,"$96,057",$0,"$9,008,218","$9,008,218",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,General Administration,$0,$0,"$2,314,994","$534,252","$1,008,998","$7,503,654",$0,$0,"$109,288","$413,972","$846,028",$0,$0,$0,"$214,434",$0,"$12,945,620","$12,945,620",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,Total,"$17,898,253","$2,651,386","$12,740,353","$2,865,414","$16,999,422","$10,267,565","$85,168","$187,601","$2,195,191","$2,257,409","$846,028","$63,752",$0,$0,"$327,766",$0,"$69,385,308","$69,385,308",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,Vehicle Maintenance,$0,$0,"$2,894,699","$585,310","$1,648,790","$55,666","$3,615","$22,976","$1,462,183",$0,$0,$0,$0,$0,"$11,680",$0,"$6,684,919","$6,684,919",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,Vehicle Operations,"$17,898,253","$2,651,386","$3,123,268","$585,238","$12,117,491","$2,184,171","$81,553","$164,625","$91,534","$1,843,437",$0,$0,$0,$0,"$5,595",$0,"$40,746,551","$40,746,551",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,Facility Maintenance,$0,$0,"$43,265","$10,760","$24,427","$1,104",$0,$0,"$10,016",$0,$0,$17,$0,$0,$0,$0,"$89,589","$89,589",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,General Administration,$0,$0,"$2,345,359","$419,712","$1,133,646","$840,893",$0,$0,"$16,038","$64,823","$737,292",$0,$0,$0,"$22,423",$0,"$5,580,186","$5,580,186",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,Total,$0,$0,"$2,388,624","$430,472","$1,158,073","$2,795,915","$2,416,656",$0,"$81,441","$64,823","$737,292",$17,$0,$0,"$26,414",$0,"$10,099,727","$10,099,727",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,Vehicle Maintenance,$0,$0,$0,$0,$0,"$1,953,918",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,953,918","$1,953,918",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,Vehicle Operations,$0,$0,$0,$0,$0,$0,"$2,416,656",$0,"$55,387",$0,$0,$0,$0,$0,"$3,991",$0,"$2,476,034","$2,476,034",$0
00002,Spokane Transit Authority,Full Reporter,Urban,DR,DO,Facility Maintenance,$0,$0,$0,$0,$0,"$193,990",$0,$0,"$40,451",$0,$0,$0,$0,$0,$0,$0,"$234,441","$234,441",$0
00002,Spokane Transit Authority,Full Reporter,Urban,DR,DO,General Administration,$0,$0,"$693,095","$103,390","$215,469","$800,330",$0,$0,"$204,378","$160,369","$268,282","$2,140",$0,$0,"$133,953",$0,"$2,581,406","$2,581,406",$0
00002,Spokane Transit Authority,Full Reporter,Urban,DR,DO,Total,"$2,295,599","$385,382","$2,554,321","$409,903","$2,343,185","$1,194,168","$323,503","$25,057","$482,017","$160,369","$268,282","$4,400",$0,$0,"$134,777",$0,"$10,580,963","$10,580,963","$10,580,963"
00002,Spokane Transit Authority,Full Reporter,Urban,DR,DO,Vehicle Maintenance,$0,$0,"$682,333","$103,661","$344,590","$9,578","$3,476",$0,"$223,487",$0,$0,$0,$0,$0,$0,$0,"$1,367,125","$1,367,125",$0
00002,Spokane Transit Authority,Full Reporter,Urban,DR,DO,Vehicle Operations,"$2,295,599","$385,382","$1,178,893","$202,852","$1,783,126","$190,270","$320,027","$25,057","$13,701",$0,$0,"$2,260",$0,$0,$824,$0,"$6,397,991","$6,397,991",$0
00002,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Facility Maintenance,$0,$0,$0,$0,$0,"$14,601",$0,$0,"$3,045",$0,$0,$0,"$19,972",$0,$0,$0,"$37,618","$37,618",$0
00002,Spokane Transit Authority,Full Reporter,Urban,DR,PT,General Administration,$0,$0,"$42,178","$10,399","$25,279","$60,240",$0,$0,"$15,383","$12,071","$20,193",$0,"$516,033",$0,$0,$0,"$701,776","$701,776",$0
00002,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Total,$0,$0,"$42,178","$10,399","$25,279","$74,841","$324,751",$0,"$18,428","$12,071","$20,193",$0,"$3,452,569",$0,$0,$0,"$3,980,709","$3,980,709","$3,980,709"
00002,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Vehicle Maintenance,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$724,970",$0,$0,$0,"$724,970","$724,970",$0
00002,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Vehicle Operations,$0,$0,$0,$0,$0,$0,"$324,751",$0,$0,$0,$0,$0,"$2,191,594",$0,$0,$0,"$2,516,345","$2,516,345",$0
00002,Spokane Transit Authority,Full Reporter,Urban,MB,DO,Facility Maintenance,$0,$0,"$1,158,548","$185,517","$572,533","$1,109,753",$0,$0,"$693,623",$0,$0,$0,$0,$0,"$1,258",$0,"$3,721,232","$3,721,232",$0
00002,Spokane Transit Authority,Full Reporter,Urban,MB,DO,General Administration,$0,$0,"$4,207,219","$671,512","$1,434,634","$1,174,647",$0,$0,"$982,960","$910,042","$1,181,206","$83,102",$0,$0,"$486,267",$0,"$11,131,589","$11,131,589",$0
00002,Spokane Transit Authority,Full Reporter,Urban,MB,DO,Total,"$14,276,450","$2,218,538","$11,170,960","$1,891,550","$11,204,051","$3,729,704","$2,904,810","$532,562","$4,354,720","$910,042","$1,181,206","$83,469",$0,$0,"$726,013",$0,"$55,184,075","$55,184,075",$0
00002,Spokane Transit Authority,Full Reporter,Urban,MB,DO,Vehicle Maintenance,$0,$0,"$3,324,178","$553,036","$1,538,189","$166,859","$51,465","$12,036","$2,497,963",$0,$0,$0,$0,$0,"$9,351",$0,"$8,153,077","$8,153,077",$0
00002,Spokane Transit Authority,Full Reporter,Urban,MB,DO,Vehicle Operations,"$14,276,450","$2,218,538","$2,481,015","$481,485","$7,658,695","$1,278,445","$2,853,345","$520,526","$180,174",$0,$0,$367,$0,$0,"$229,137",$0,"$32,178,177","$32,178,177",$0
00002,Spokane Transit Authority,Full Reporter,Urban,VP,DO,Facility Maintenance,$0,$0,$0,$0,$0,"$9,123",$0,$0,"$1,902",$0,$0,$0,$0,$0,$0,$0,"$11,025","$11,025",$0
00002,Spokane Transit Authority,Full Reporter,Urban,VP,DO,General Administration,$0,$0,"$152,095","$18,505","$52,053","$18,253",$0,$0,"$9,601","$8,507","$145,502",$94,$0,$0,"$14,564",$0,"$419,174","$419,174",$0
00002,Spokane Transit Authority,Full Reporter,Urban,VP,DO,Total,$0,$0,"$152,095","$18,505","$52,053","$68,713","$132,543","$4,647","$42,611","$8,507","$145,502",$710,$0,$0,"$17,613",$0,"$643,499","$643,499",$0
00002,Spokane Transit Authority,Full Reporter,Urban,VP,DO,Vehicle Maintenance,$0,$0,$0,$0,$0,"$37,719",$0,$0,"$31,108",$0,$0,$0,$0,$0,$0,$0,"$68,827","$68,827",$0
00002,Spokane Transit Authority,Full Reporter,Urban,VP,DO,Vehicle Operations,$0,$0,$0,$0,$0,"$3,618","$132,543","$4,647",$0,$0,$0,$616,$0,$0,"$3,049",$0,"$144,473","$144,473",$0
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,CB,PT,Facility Maintenance,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,874,359",$0,$0,"$1,874,359",$0,$0
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,CB,PT,General Administration,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$7,465,107",$0,$0,"$7,465,107",$0,$0
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,CB,PT,Total,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$50,494,781",$0,$0,"$50,494,781",$0,$0
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,CB,PT,Vehicle Maintenance,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$11,023,988",$0,$0,"$11,023,988",$0,$0
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,CB,PT,Vehicle Operations,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$30,131,327",$0,$0,"$30,131,327",$0,$0
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Facility Maintenance,$0,$0,"$37,805","$5,154","$17,736","$79,260",$0,$0,"$3,853",$0,$0,$0,$0,$0,$55,$0,"$143,863","$143,863",$0
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,General Administration,$0,$0,"$430,526","$104,418","$222,917","$289,920",$0,$0,"$13,713","$28,331","$136,050","$13,543",$0,$0,"$11,677",$0,"$1,251,095","$1,251,095",$0
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Total,"$1,536,831","$323,512","$924,774","$193,991","$1,321,215","$394,582","$158,860","$19,455","$52,666","$28,331","$136,050","$13,543",$0,$0,"$16,973",$0,"$5,120,783","$5,120,783","$5,120,783"
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Vehicle Maintenance,$0,$0,"$46,799","$7,449","$26,071","$3,304","$22,750","$1,310","$33,531",$0,$0,$0,$0,$0,$158,$0,"$141,372","$141,372",$0
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Vehicle Operations,"$1,536,831","$323,512","$409,644","$76,970","$1,054,491","$22,098","$136,110","$18,145","$1,569",$0,$0,$0,$0,$0,"$5,083",$0,"$3,584,453","$3,584,453",$0
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,Facility Maintenance,$0,$0,"$73,509","$10,025","$33,087","$156,654",$0,$0,"$9,093",$0,$0,$0,"$88,140",$0,$97,$0,"$370,605","$370,605",$0
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,General Administration,$0,$0,"$632,024","$176,020","$332,864","$284,327",$0,$0,"$8,122","$23,425",$168,"$5,417","$736,354",$0,"$8,968",$0,"$2,207,689","$2,207,689",$0
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,Total,$0,$0,"$1,673,638","$362,053","$802,822","$498,137",$0,$0,"$21,494","$23,425",$168,"$5,417","$6,924,903",$0,"$20,764",$0,"$10,332,821","$10,332,821","$10,332,821"
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,Vehicle Maintenance,$0,$0,"$86,418","$13,922","$45,781","$4,189",$0,$0,$878,$0,$0,$0,"$916,105",$0,$382,$0,"$1,067,675","$1,067,675",$0
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,Vehicle Operations,$0,$0,"$881,687","$162,086","$391,090","$52,967",$0,$0,"$3,401",$0,$0,$0,"$5,184,304",$0,"$11,317",$0,"$6,686,852","$6,686,852",$0
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Facility Maintenance,$0,$0,"$1,124,107","$200,030","$560,195","$1,076,998",$0,$0,"$476,522",$0,$0,$0,$0,$0,"$3,840",$0,"$3,441,692","$3,441,692",$0
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,General Administration,$0,$0,"$5,914,291","$1,136,311","$2,826,794","$5,617,202",$0,$0,"$276,884","$968,848","$1,199,712","$205,977",$0,$0,"$315,571",$0,"$18,461,590","$18,461,590",$0
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Total,"$17,683,075","$2,542,662","$14,059,437","$2,623,148","$15,287,167","$10,107,561","$1,524,685","$392,373","$3,812,672","$993,720","$1,199,712","$205,977",$0,$0,"$396,477",$0,"$70,828,666","$70,828,666",$0
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Vehicle Maintenance,$0,$0,"$2,974,083","$537,247","$1,536,134","$109,644","$107,437","$6,188","$2,954,285",$0,$0,$0,$0,$0,"$10,461",$0,"$8,235,479","$8,235,479",$0
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Vehicle Operations,"$17,683,075","$2,542,662","$4,046,956","$749,560","$10,364,044","$3,303,717","$1,417,248","$386,185","$104,981","$24,872",$0,$0,$0,$0,"$66,605",$0,"$40,689,905","$40,689,905",$0
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Facility Maintenance,$0,$0,"$64,412","$12,434","$34,063","$28,955",$0,$0,"$28,417",$0,$0,$0,$0,$0,$326,$0,"$168,607","$168,607",$0
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,General Administration,$0,$0,"$223,952","$43,007","$106,974","$136,870",$0,$0,"$5,633","$54,343","$936,449","$4,644",$0,$0,"$9,600",$0,"$1,521,472","$1,521,472",$0
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Total,$0,$0,"$1,216,961","$259,610","$623,512","$264,914","$1,043,236","$36,738","$255,098","$54,343","$936,449","$4,644",$0,$0,"$147,053",$0,"$4,842,558","$4,842,558",$0
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Vehicle Maintenance,$0,$0,"$466,415","$74,684","$245,778","$20,609",$0,$0,"$212,360",$0,$0,$0,$0,$0,"$1,363",$0,"$1,021,209","$1,021,209",$0
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Vehicle Operations,$0,$0,"$462,182","$129,485","$236,697","$78,480","$1,043,236","$36,738","$8,688",$0,$0,$0,$0,$0,"$135,764",$0,"$2,131,270","$2,131,270",$0
00004,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,FB,DO,Total,,,,,,,,,,,,,,,,"$719,912","$719,912","$719,912",
00004,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,MB,DO,Total,,,,,,,,,,,,,,,,"$319,916","$319,916","$319,916",
00005,City of Everett,Full Reporter,Urban,DR,DO,Facility Maintenance,$0,$0,"$164,687","$38,802","$75,599","$188,887",$0,$0,"$21,412",$0,$0,$0,$0,$0,$963,$0,"$490,350","$490,350",$0
00005,City of Everett,Full Reporter,Urban,DR,DO,General Administration,"$5,551",$0,"$488,170","$77,484","$254,756","$137,623",$0,$0,"$14,300","$91,294","$263,078","$98,391",$0,$0,"$26,038",$0,"$1,456,685","$1,456,685",$0
00005,City of Everett,Full Reporter,Urban,DR,DO,Total,"$1,580,382","$249,429","$1,499,213","$292,271","$1,627,479","$425,754","$302,496","$33,699","$498,745","$91,294","$263,078","$98,391",$0,$0,"$41,476",$0,"$7,003,707","$7,003,707","$6,463,652"
00005,City of Everett,Full Reporter,Urban,DR,DO,Vehicle Maintenance,$0,$0,"$272,338","$31,154","$135,519","$42,109","$6,085","$2,042","$391,343",$0,$0,$0,$0,$0,$294,$0,"$880,884","$880,884",$0
00005,City of Everett,Full Reporter,Urban,DR,DO,Vehicle Operations,"$1,574,831","$249,429","$574,018","$144,831","$1,161,605","$57,135","$296,411","$31,657","$71,690",$0,$0,$0,$0,$0,"$14,181",$0,"$4,175,788","$4,175,788",$0
00005,City of Everett,Full Reporter,Urban,MB,DO,Facility Maintenance,$0,$0,"$343,015","$76,167","$157,315","$432,007",$0,$0,"$52,487",$0,$0,"$43,892",$0,$0,"$1,889",$0,"$1,106,772","$1,106,772",$0
00005,City of Everett,Full Reporter,Urban,MB,DO,General Administration,"$29,289",$0,"$1,117,116","$136,410","$588,051","$226,966",$0,$0,"$30,235","$255,763","$745,210","$149,247",$0,$0,"$51,088",$0,"$3,329,375","$3,329,375",$0
00005,City of Everett,Full Reporter,Urban,MB,DO,Total,"$3,899,077","$758,548","$2,690,468","$398,621","$3,484,626","$1,007,423","$612,290","$99,366","$1,143,683","$294,078","$745,210","$193,139",$0,$0,"$58,701",$0,"$15,385,230","$15,385,230",$0
00005,City of Everett,Full Reporter,Urban,MB,DO,Vehicle Maintenance,$0,$0,"$565,705","$61,153","$279,567","$154,804","$11,945","$4,008","$1,018,765",$0,$0,$0,$0,$0,$958,$0,"$2,096,905","$2,096,905",$0
00005,City of Everett,Full Reporter,Urban,MB,DO,Vehicle Operations,"$3,869,788","$758,548","$664,632","$124,891","$2,459,693","$193,646","$600,345","$95,358","$42,196","$38,315",$0,$0,$0,$0,"$4,766",$0,"$8,852,178","$8,852,178",$0
00006,City of Yakima,Full Reporter,Urban,CB,PT,Facility Maintenance,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$45,865",$0,$0,$0,"$45,865","$45,865",$0
00006,City of Yakima,Full Reporter,Urban,CB,PT,General Administration,$0,$0,"$11,703","$1,761","$5,003",$0,$0,$0,$0,"$2,082","$17,568",$0,"$91,731",$0,$0,$0,"$129,848","$129,848",$0
