NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Expense Type,Passenger Paid Fares,Organization Paid Fares,Total Fares
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Funds Earned During Period,"$131,099",$0,"$131,099"
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,Funds Earned During Period,"$266,504",$0,"$266,504"
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$8,456,158","$92,446","$8,548,604"
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Funds Earned During Period,"$2,874,591",$0,"$2,874,591"
00004,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,FB,DO,Funds Expended on Capital,$0,$0,$0
00004,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,FB,DO,Funds Expended on Operations,$0,$0,$0
00004,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0,$0,$0
00004,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,$0,$0,$0
00005,City of Everett,Full Reporter,Urban,DR,DO,Funds Earned During Period,"$183,038",$0,"$183,038"
00005,City of Everett,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$1,421,593","$258,261","$1,679,854"
00006,City of Yakima,Full Reporter,Urban,CB,PT,Funds Earned During Period,"$249,416",$0,"$249,416"
00006,City of Yakima,Full Reporter,Urban,DR,PT,Funds Earned During Period,"$95,450",$0,"$95,450"
00006,City of Yakima,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$556,432",$0,"$556,432"
00006,City of Yakima,Full Reporter,Urban,VP,DO,Funds Earned During Period,"$128,259",$0,"$128,259"
00007,Lane Transit District,Full Reporter,Urban,DR,PT,Funds Earned During Period,"$305,495","$66,640","$372,135"
00007,Lane Transit District,Full Reporter,Urban,DT,PT,Funds Earned During Period,$0,$0,$0
00007,Lane Transit District,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$2,615,516","$1,660,044","$4,275,560"
00007,Lane Transit District,Full Reporter,Urban,MB,PT,Funds Earned During Period,"$34,272",$0,"$34,272"
00007,Lane Transit District,Full Reporter,Urban,RB,DO,Funds Earned During Period,"$1,912,828","$855,822","$2,768,650"
00007,Lane Transit District,Full Reporter,Urban,VP,PT,Funds Earned During Period,"$186,564",$0,"$186,564"
00008,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT,Funds Earned During Period,"$1,131,812","$7,156,353","$8,288,165"
00008,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DT,PT,Funds Earned During Period,"$143,181","$905,319","$1,048,500"
00008,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO,Funds Earned During Period,"$35,109,521","$10,524,558","$45,634,079"
00008,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$45,869,969","$13,750,163","$59,620,132"
00008,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,SR,PT,Funds Earned During Period,$0,$0,$0
00008,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,YR,PT,Funds Earned During Period,"$233,262","$69,923","$303,185"
00009,Kalispel Tribe of Indians,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,$0,$0,$0
00009,Kalispel Tribe of Indians,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,$0,$0,$0
00009,Kalispel Tribe of Indians,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0,$0,$0
00009,Kalispel Tribe of Indians,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,$0,$0,$0
00010,Klamath Tribes,Reduced Reporter,Tribe,CB,DO,Funds Expended on Capital,$0,$0,$0
00010,Klamath Tribes,Reduced Reporter,Tribe,CB,DO,Funds Expended on Operations,$0,$0,$0
00010,Klamath Tribes,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,$0,$0,$0
00010,Klamath Tribes,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,$0,$0,$0
00011,Valley Regional Transit,Full Reporter,Urban,DR,PT,Funds Earned During Period,"$100,469","$7,361","$107,830"
00011,Valley Regional Transit,Full Reporter,Urban,MB,PT,Funds Earned During Period,"$660,557","$177,998","$838,555"
00012,Municipality of Anchorage,Full Reporter,Urban,DR,PT,Funds Earned During Period,"$685,839",$0,"$685,839"
00012,Municipality of Anchorage,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$3,104,663",$0,"$3,104,663"
00012,Municipality of Anchorage,Full Reporter,Urban,MB,PT,Funds Earned During Period,"$233,684",$0,"$233,684"
00012,Municipality of Anchorage,Full Reporter,Urban,VP,PT,Funds Earned During Period,"$1,175,411",$0,"$1,175,411"
00014,Sitka Tribe of Alaska,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0,$0,$0
00014,Sitka Tribe of Alaska,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,"$39,365","$7,650","$47,015"
00015,Snoqualmie Indian Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,$0,$0,$0
00015,Snoqualmie Indian Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,$0,$0,$0
00016,RiverCities Transit,Full Reporter,Urban,DR,PT,Funds Earned During Period,"$32,371","$2,934","$35,305"
00016,RiverCities Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$95,087","$60,033","$155,120"
00017,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,$0,$0,$0
00017,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,$0,$0,$0
00017,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,VP,DO,Funds Expended on Capital,$0,$0,$0
00017,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,VP,DO,Funds Expended on Operations,"$12,214",$0,"$12,214"
00018,Ben Franklin Transit,Full Reporter,Urban,DR,DO,Funds Earned During Period,"$309,579","$10,336","$319,915"
00018,Ben Franklin Transit,Full Reporter,Urban,DR,PT,Funds Earned During Period,"$43,950",$0,"$43,950"
00018,Ben Franklin Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$741,781","$327,553","$1,069,334"
00018,Ben Franklin Transit,Full Reporter,Urban,VP,DO,Funds Earned During Period,"$1,441,591","$364,109","$1,805,700"
00019,Intercity Transit,Full Reporter,Urban,CB,DO,Funds Earned During Period,"$196,279",$0,"$196,279"
00019,Intercity Transit,Full Reporter,Urban,DR,DO,Funds Earned During Period,"$160,775",$0,"$160,775"
00019,Intercity Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$1,584,515","$723,356","$2,307,871"
00019,Intercity Transit,Full Reporter,Urban,VP,DO,Funds Earned During Period,"$1,389,142",$0,"$1,389,142"
00020,Kitsap Transit,Full Reporter,Urban,DR,DO,Funds Earned During Period,"$247,519",$0,"$247,519"
00020,Kitsap Transit,Full Reporter,Urban,DT,PT,Funds Earned During Period,"$6,694",$0,"$6,694"
00020,Kitsap Transit,Full Reporter,Urban,FB,DO,Funds Earned During Period,"$2,644,242",$0,"$2,644,242"
00020,Kitsap Transit,Full Reporter,Urban,FB,PT,Funds Earned During Period,"$759,525",$0,"$759,525"
00020,Kitsap Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$3,946,357",$0,"$3,946,357"
00020,Kitsap Transit,Full Reporter,Urban,VP,DO,Funds Earned During Period,"$424,041",$0,"$424,041"
00021,Whatcom Transportation Authority,Full Reporter,Urban,DR,DO,Funds Earned During Period,"$100,209",$0,"$100,209"
00021,Whatcom Transportation Authority,Full Reporter,Urban,DT,PT,Funds Earned During Period,$276,$0,$276
00021,Whatcom Transportation Authority,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$1,292,253","$1,181,684","$2,473,937"
00021,Whatcom Transportation Authority,Full Reporter,Urban,VP,DO,Funds Earned During Period,"$110,283",$0,"$110,283"
00022,City of Pocatello,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,$0,$0,$0
00022,City of Pocatello,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,"$46,909",$0,"$46,909"
00022,City of Pocatello,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,$0,$0,$0
00022,City of Pocatello,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,"$89,863",$0,"$89,863"
00023,City of Seattle,Full Reporter,Urban,MG,PT,Funds Earned During Period,"$4,151,874",$0,"$4,151,874"
00024,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Funds Earned During Period,"$496,918",$0,"$496,918"
00024,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$6,200,070",$0,"$6,200,070"
00024,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Funds Earned During Period,"$158,169",$0,"$158,169"
00025,Salem Area Mass Transit District,Full Reporter,Urban,DR,PT,Funds Earned During Period,"$402,005",$0,"$402,005"
00025,Salem Area Mass Transit District,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$2,196,271",$0,"$2,196,271"
00025,Salem Area Mass Transit District,Full Reporter,Urban,VP,PT,Funds Earned During Period,"$310,822",$0,"$310,822"
00028,County of Pierce,Full Reporter,Urban,FB,PT,Funds Earned During Period,"$2,778,623",$0,"$2,778,623"
00029,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,DO,Funds Earned During Period,"$1,022,972","$3,314,770","$4,337,742"
00029,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,PT,Funds Earned During Period,"$6,405,425","$9,506,299","$15,911,724"
00029,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,DR,PT,Funds Earned During Period,"$371,586","$60,077","$431,663"
00029,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$5,993,904","$2,949,535","$8,943,439"
00029,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,VP,DO,Funds Earned During Period,"$1,814,188","$1,299,314","$3,113,502"
00030,Chickaloon Native Village,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,$0,$0,$0
00030,Chickaloon Native Village,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,"$2,812",$0,"$2,812"
00031,Shoshone-Bannock Tribes ,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0,$0,$0
00031,Shoshone-Bannock Tribes ,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,"$20,472","$9,000","$29,472"
00034,Rogue Valley Transportation District,Full Reporter,Urban,DR,PT,Funds Earned During Period,"$111,858",$0,"$111,858"
00034,Rogue Valley Transportation District,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$1,189,888",$0,"$1,189,888"
00035,Washington State Ferries,Full Reporter,Urban,FB,DO,Funds Earned During Period,"$76,422,888",$0,"$76,422,888"
00036,Makah Tribal Council,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0,$0,$0
00036,Makah Tribal Council,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,"$1,031",$0,"$1,031"
00040,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,DO,Funds Earned During Period,"$10,212,016","$16,940,523","$27,152,539"
00040,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,PT,Funds Earned During Period,"$3,828,414","$5,854,518","$9,682,932"
00040,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CR,PT,Funds Earned During Period,"$5,407,412","$11,924,969","$17,332,381"
00040,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,LR,DO,Funds Earned During Period,"$21,445,826","$22,156,367","$43,602,193"
00040,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,SR,DO,Funds Earned During Period,$0,$0,$0
00041,Alaska Railroad Corporation,Full Reporter,Urban,AR,DO,Funds Earned During Period,"$26,097,415",$0,"$26,097,415"
00043,Link Transit,Full Reporter,Urban,DR,DO,Funds Earned During Period,"$49,016","$7,500","$56,516"
00043,Link Transit,Full Reporter,Urban,DR,PT,Funds Earned During Period,$431,$0,$431
00043,Link Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$501,440","$81,824","$583,264"
00044,Skagit Transit,Full Reporter,Urban,CB,DO,Funds Earned During Period,"$82,137",$0,"$82,137"
00044,Skagit Transit,Full Reporter,Urban,DR,DO,Funds Earned During Period,"$9,419",$0,"$9,419"
00044,Skagit Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$368,183",$0,"$368,183"
00044,Skagit Transit,Full Reporter,Urban,VP,DO,Funds Earned During Period,"$475,310",$0,"$475,310"
00045,Fairbanks North Star Borough ,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,$0,$0,$0
00045,Fairbanks North Star Borough ,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,"$48,032",$0,"$48,032"
00045,Fairbanks North Star Borough ,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,$0,$0,$0
00045,Fairbanks North Star Borough ,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,"$351,530",$0,"$351,530"
00046,City of Wilsonville,Full Reporter,Urban,DR,DO,Funds Earned During Period,"$5,224",$0,"$5,224"
00046,City of Wilsonville,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$200,674",$500,"$201,174"
00047,City of Corvallis,Reduced Reporter,Urban,MB,PT,Funds Expended on Capital,$0,$0,$0
00047,City of Corvallis,Reduced Reporter,Urban,MB,PT,Funds Expended on Operations,$0,$0,$0
00048,City of Lewiston,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,$0,$0,$0
00048,City of Lewiston,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,"$8,257",$0,"$8,257"
00048,City of Lewiston,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,$0,$0,$0
00048,City of Lewiston,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,"$34,633",$0,"$34,633"
00051,Asotin County,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,$0,$0,$0
00051,Asotin County,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,"$7,241",$0,"$7,241"
00051,Asotin County,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,$0,$0,$0
00051,Asotin County,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,"$21,404",$0,"$21,404"
00051,Asotin County,Reduced Reporter,Urban,VP,DO,Funds Expended on Capital,$0,$0,$0
00051,Asotin County,Reduced Reporter,Urban,VP,DO,Funds Expended on Operations,"$81,980",$0,"$81,980"
00053,Coeur d'Alene Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,$0,$0,$0
00053,Coeur d'Alene Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,$0,$0,$0
00053,Coeur d'Alene Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0,$0,$0
00053,Coeur d'Alene Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,$0,$0,$0
00055,Kootenai County,Reduced Reporter,Urban,DR,PT,Funds Expended on Capital,$0,$0,$0
00055,Kootenai County,Reduced Reporter,Urban,DR,PT,Funds Expended on Operations,$0,$0,$0
00057,Central Oregon Intergovernmental Council,Full Reporter,Urban,CB,DO,Funds Earned During Period,"$258,862",$0,"$258,862"
00057,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,DO,Funds Earned During Period,"$43,055",$0,"$43,055"
00057,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,PT,Funds Earned During Period,"$50,907",$0,"$50,907"
00057,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$2,388",$0,"$2,388"
00057,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,PT,Funds Earned During Period,"$356,866",$0,"$356,866"
00058,City of Portland,Full Reporter,Urban,SR,PT,Funds Earned During Period,"$1,070,657",$0,"$1,070,657"
00058,City of Portland,Full Reporter,Urban,TR,PT,Funds Earned During Period,"$764,384",$0,"$764,384"
00059,Josephine County,Reduced Reporter,Urban,CB,DO,Funds Expended on Capital,$0,$0,$0
00059,Josephine County,Reduced Reporter,Urban,CB,DO,Funds Expended on Operations,"$48,897",$0,"$48,897"
00059,Josephine County,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,$0,$0,$0
00059,Josephine County,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,"$29,419",$0,"$29,419"
00059,Josephine County,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,$0,$0,$0
00059,Josephine County,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,"$52,839",$0,"$52,839"
00061,City of Albany,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,$0,$0,$0
00061,City of Albany,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,"$33,708",$0,"$33,708"
00061,City of Albany,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,$0,$0,$0
00061,City of Albany,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,"$47,252",$0,"$47,252"
00063,City of Milton-Freewater,Reduced Reporter,Urban,DT,PT,Funds Expended on Capital,$0,$0,$0
00063,City of Milton-Freewater,Reduced Reporter,Urban,DT,PT,Funds Expended on Operations,"$6,080",$0,"$6,080"
00063,City of Milton-Freewater,Reduced Reporter,Urban,MB,PT,Funds Expended on Capital,$0,$0,$0
00063,City of Milton-Freewater,Reduced Reporter,Urban,MB,PT,Funds Expended on Operations,$0,$0,$0
00064,Valley Transit,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,$0,$0,$0
00064,Valley Transit,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,"$26,058",$0,"$26,058"
00064,Valley Transit,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,$0,$0,$0
00064,Valley Transit,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,"$131,380",$0,"$131,380"
00064,Valley Transit,Reduced Reporter,Urban,VP,DO,Funds Expended on Capital,$0,$0,$0
00064,Valley Transit,Reduced Reporter,Urban,VP,DO,Funds Expended on Operations,"$30,991",$0,"$30,991"
00065,Benton County,Reduced Reporter,Urban,CB,PT,Funds Expended on Capital,$0,$0,$0
00065,Benton County,Reduced Reporter,Urban,CB,PT,Funds Expended on Operations,"$31,728",$0,"$31,728"
00065,Benton County,Reduced Reporter,Urban,DR,PT,Funds Expended on Capital,$0,$0,$0
00065,Benton County,Reduced Reporter,Urban,DR,PT,Funds Expended on Operations,"$82,163","$402,081","$484,244"
00085,Gulkana Village Council,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,$0,$0,$0
00085,Gulkana Village Council,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,"$1,148",$0,"$1,148"
00085,Gulkana Village Council,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0,$0,$0
00085,Gulkana Village Council,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,"$29,296",$0,"$29,296"
00095,Lummi Nation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0,$0,$0
00095,Lummi Nation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,$0,$0,$0
00103,Squaxin Island Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0,$0,$0
00103,Squaxin Island Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,$0,$0,$0
00111,Confederated Tribes and Bands of The Yakama Nation,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,$0,$0,$0
00111,Confederated Tribes and Bands of The Yakama Nation,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,$0,$0,$0
00111,Confederated Tribes and Bands of The Yakama Nation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0,$0,$0
00111,Confederated Tribes and Bands of The Yakama Nation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,$0,$0,$0
00119,Confederated Tribes of the Umatilla Indian Reservation,Reduced Reporter,Tribe,CB,DO,Funds Expended on Capital,$0,$0,$0
00119,Confederated Tribes of the Umatilla Indian Reservation,Reduced Reporter,Tribe,CB,DO,Funds Expended on Operations,$0,$0,$0
00119,Confederated Tribes of the Umatilla Indian Reservation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0,$0,$0
00119,Confederated Tribes of the Umatilla Indian Reservation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,$0,$0,$0
00127,Cowlitz Indian Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,$0,$0,$0
00127,Cowlitz Indian Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,$0,$0,$0
00135,Nez Perce Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,$0,$0,$0
00135,Nez Perce Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,"$3,233",$0,"$3,233"
00135,Nez Perce Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0,$0,$0
00135,Nez Perce Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,"$15,778",$0,"$15,778"
00199,Seldovia Village Tribe,Reduced Reporter,Tribe,FB,DO,Funds Expended on Capital,$0,$0,$0
00199,Seldovia Village Tribe,Reduced Reporter,Tribe,FB,DO,Funds Expended on Operations,"$389,607","$12,152","$401,759"
00207,Spokane Tribe of Indians,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,$0,$0,$0
00207,Spokane Tribe of Indians,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,$0,$0,$0
00207,Spokane Tribe of Indians,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0,$0,$0
00207,Spokane Tribe of Indians,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,$0,$0,$0
00207,Spokane Tribe of Indians,Reduced Reporter,Tribe,VP,DO,Funds Expended on Capital,$0,$0,$0
00207,Spokane Tribe of Indians,Reduced Reporter,Tribe,VP,DO,Funds Expended on Operations,"$18,744",$0,"$18,744"
00247,Native Village of Noatak,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,$0,$0,$0
00247,Native Village of Noatak,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,$0,$0,$0
00271,Nome Eskimo Community,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0,$0,$0
00271,Nome Eskimo Community,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,$0,$0,$0
00279,Hydaburg Cooperative Association,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,$0,$0,$0
00279,Hydaburg Cooperative Association,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,"$2,820",$0,"$2,820"
00373,Treasure Valley Transit,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,$0,$0,$0
00373,Treasure Valley Transit,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,"$8,040",$0,"$8,040"
00373,Treasure Valley Transit,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,$0,$0,$0
00373,Treasure Valley Transit,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,"$32,214",$0,"$32,214"
00376,"Ride Connection, Inc.",Full Reporter,Urban,DR,DO,Funds Earned During Period,$0,$0,$0
00376,"Ride Connection, Inc.",Full Reporter,Urban,DT,PT,Funds Earned During Period,$0,$0,$0
00376,"Ride Connection, Inc.",Full Reporter,Urban,MB,DO,Funds Earned During Period,"$16,795",$0,"$16,795"
00400,Gwichyaa Zhee Tribal Transit Service,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0,$0,$0
00400,Gwichyaa Zhee Tribal Transit Service,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,"$3,289",$0,"$3,289"
00401,Lower Elwha Klallam Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0,$0,$0
00401,Lower Elwha Klallam Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,$0,$0,$0
00407,Muckleshoot Indian Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,$0,$0,$0
00407,Muckleshoot Indian Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,$0,$0,$0
00407,Muckleshoot Indian Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0,$0,$0
00407,Muckleshoot Indian Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,$0,$0,$0
00414,Ninilchik Village,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0,$0,$0
00414,Ninilchik Village,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,"$3,026",$500,"$3,526"
00415,Ada County Highway District,Full Reporter,Urban,VP,DO,Funds Earned During Period,"$1,011,733",$0,"$1,011,733"
00416,Boise State University,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,$0,$0,$0
00416,Boise State University,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,$0,$0,$0
00417,Quileute Tribe Community Shuttle,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0,$0,$0
00417,Quileute Tribe Community Shuttle,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,$0,$0,$0
00419,Kenaitze Indian Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,$0,$0,$0
00419,Kenaitze Indian Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,$0,$0,$0
00420,Native Village of Unalakleet,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,$0,$0,$0
